name,ticker,code
INTREPID MINES LIMITED,IAU,IAU.AX
INDUSTRIA REIT,IDR,IDR.AX
IOOF HOLDINGS LIMITED,IFL,IFL.AX
INFIGEN ENERGY,IFN,IFN.AX
INDEPENDENCE GROUP NL,IGO,IGO.AX
IINET LIMITED,IIN,IIN.AX
ILUKA RESOURCES LIMITED,ILU,ILU.AX
IMDEX LIMITED,IMD,IMD.AX
BENTHAM IMF LIMITED,IMF,IMF.AX
INGENIA COMMUNITIES GROUP,INA,INA.AX
INVESTA OFFICE FUND,IOF,IOF.AX
INCITEC PIVOT LIMITED,IPL,IPL.AX
IPROPERTY GROUP LIMITED,IPP,IPP.AX
IRESS LIMITED,IRE,IRE.AX
INDOPHIL RESOURCES NL,IRN,IRN.AX
ISELECT LIMITED.,ISU,ISU.AX
INVOCARE LIMITED,IVC,IVC.AX
JB HI-FI LIMITED,JBH,JBH.AX
JAPARA HEALTHCARE LIMITED,JHC,JHC.AX
JAMES HARDIE INDUSTRIES PLC,JHX,JHX.AX
KAROON GAS AUSTRALIA LIMITED,KAR,KAR.AX
KINGSGATE CONSOLIDATED LIMITED.,KCN,KCN.AX
KATHMANDU HOLDINGS LIMITED,KMD,KMD.AX
LEIGHTON HOLDINGS LIMITED,LEI,LEI.AX
LEND LEASE GROUP,LLC,LLC.AX
LYNAS CORPORATION LIMITED,LYC,LYC.AX
MAVERICK DRILLING AND EXPLORATION LIMITED,MAD,MAD.AX
MACMAHON HOLDINGS LIMITED,MAH,MAH.AX
MINERAL DEPOSITS LIMITED,MDL,MDL.AX
MAGELLAN FINANCIAL GROUP LIMITED,MFG,MFG.AX
MIRVAC GROUP,MGR,MGR.AX
MOUNT GIBSON IRON LIMITED,MGX,MGX.AX
MINERAL RESOURCES LIMITED,MIN,MIN.AX
MACA LIMITED,MLD,MLD.AX
MEDUSA MINING LIMITED,MML,MML.AX
MCMILLAN SHAKESPEARE LIMITED,MMS,MMS.AX
MONADELPHOUS GROUP LIMITED,MND,MND.AX
MORTGAGE CHOICE LIMITED,MOC,MOC.AX
MACQUARIE ATLAS ROADS GROUP,MQA,MQA.AX
MACQUARIE GROUP LIMITED,MQG,MQG.AX
MERMAID MARINE AUSTRALIA LIMITED,MRM,MRM.AX
MESOBLAST LIMITED,MSB,MSB.AX
METCASH LIMITED,MTS,MTS.AX
M2 GROUP LTD,MTU,MTU.AX
MAXITRANS INDUSTRIES LIMITED,MXI,MXI.AX
MYER HOLDINGS LIMITED,MYR,MYR.AX
MIGHTY RIVER POWER LIMITED,MYT,MYT.AX
MAYNE PHARMA GROUP LIMITED,MYX,MYX.AX
NATIONAL AUSTRALIA BANK LIMITED,NAB,NAB.AX
NEWCREST MINING LIMITED,NCM,NCM.AX
NINE ENTERTAINMENT CO. HOLDINGS LIMITED,NEC,NEC.AX
NATIONAL STORAGE REIT,NSR,NSR.AX
NORTHERN STAR RESOURCES LTD,NST,NST.AX
NUFARM LIMITED,NUF,NUF.AX
NAVITAS LIMITED,NVT,NVT.AX
NRW HOLDINGS LIMITED,NWH,NWH.AX
NEWS CORPORATION..,NWS,NWS.AX
NEWSAT LIMITED,NWT,NWT.AX
NEXTDC LIMITED,NXT,NXT.AX
OZFOREX GROUP LIMITED,OFX,OFX.AX
OCEANAGOLD CORPORATION,OGC,OGC.AX
ORORA LIMITED,ORA,ORA.AX
OROCOBRE LIMITED,ORE,ORE.AX
ORIGIN ENERGY LIMITED,ORG,ORG.AX
ORICA LIMITED,ORI,ORI.AX
OROTONGROUP LIMITED,ORL,ORL.AX
OIL SEARCH LIMITED,OSH,OSH.AX
OZ MINERALS LIMITED,OZL,OZL.AX
PACIFIC BRANDS LIMITED,PBG,PBG.AX
PRANA BIOTECHNOLOGY LIMITED,PBT,PBT.AX
PALADIN ENERGY LTD,PDN,PDN.AX
PACT GROUP HOLDINGS LTD,PGH,PGH.AX
PAPILLON RESOURCES LIMITED,PIR,PIR.AX
PREMIER INVESTMENTS LIMITED,PMV,PMV.AX
PANAUST LIMITED,PNA,PNA.AX
PERPETUAL LIMITED,PPT,PPT.AX
PROGRAMMED MAINTENANCE SERVICES LIMITED,PRG,PRG.AX
PERSEUS MINING LIMITED,PRU,PRU.AX
PRIMARY HEALTH CARE LIMITED,PRY,PRY.AX
PLATINUM ASSET MANAGEMENT LIMITED,PTM,PTM.AX
QANTAS AIRWAYS LIMITED,QAN,QAN.AX
QBE INSURANCE GROUP LIMITED,QBE,QBE.AX
QUBE HOLDINGS LIMITED,QUB,QUB.AX
RCG CORPORATION LIMITED,RCG,RCG.AX
RCR TOMLINSON LIMITED,RCR,RCR.AX
REA GROUP LTD,REA,REA.AX
RECALL HOLDINGS LIMITED,REC,REC.AX
RED FORK ENERGY LIMITED,RFE,RFE.AX
RETAIL FOOD GROUP LIMITED,RFG,RFG.AX
RAMSAY HEALTH CARE LIMITED,RHC,RHC.AX
RIDLEY CORPORATION LIMITED,RIC,RIC.AX
RIO TINTO LIMITED,RIO,RIO.AX
RECKON LIMITED,RKN,RKN.AX
RESMED INC,RMD,RMD.AX
ROC OIL COMPANY LIMITED,ROC,ROC.AX
REGIS RESOURCES LIMITED,RRL,RRL.AX
RESOLUTE MINING LIMITED,RSG,RSG.AX
SAI GLOBAL LIMITED,SAI,SAI.AX
SARACEN MINERAL HOLDINGS LIMITED,SAR,SAR.AX
ST BARBARA LIMITED,SBM,SBM.AX
SCENTRE GROUP,SCG,SCG.AX
SHOPPING CENTRES AUSTRALASIA PROPERTY GROUP,SCP,SCP.AX
STEADFAST GROUP LIMITED,SDF,SDF.AX
SUNDANCE RESOURCES LIMITED,SDL,SDL.AX
SUNDANCE ENERGY AUSTRALIA LIMITED,SEA,SEA.AX
SINO GAS & ENERGY HOLDINGS LIMITED,SEH,SEH.AX
SEEK LIMITED,SEK,SEK.AX
SANDFIRE RESOURCES NL,SFR,SFR.AX
